Regular Timestamp,Timestamp (Number),Distance (cm)
12:26:57.188,44817.188,314.31
12:26:57.226,44817.226,315.54
12:26:57.263,44817.264,315.59
12:26:57.301,44817.301,314.24
12:26:57.338,44817.338,314.74
12:26:57.376,44817.376,313.85
12:26:57.413,44817.413,315.18
12:26:57.450,44817.451,314.31
12:26:57.488,44817.488,315.51
12:26:57.525,44817.526,316.02
12:26:57.563,44817.563,316.42
12:26:57.600,44817.601,314.33
12:26:57.638,44817.638,315.99
12:26:57.676,44817.676,316.47
12:26:57.713,44817.713,314.7
12:26:57.750,44817.75,314.31
12:26:57.788,44817.788,315.56
12:26:57.825,44817.826,315.61
12:26:57.863,44817.863,314.26
12:26:57.900,44817.901,316.45
12:26:57.938,44817.938,315.13
12:26:57.975,44817.975,314.33
12:26:58.013,44818.013,314.33
12:26:58.050,44818.05,314.33
12:26:58.087,44818.088,314.31
12:26:58.125,44818.125,314.67
12:26:58.162,44818.162,314.31
12:26:58.200,44818.2,315.54
12:26:58.238,44818.238,314.72
12:26:58.275,44818.275,315.61
12:26:58.312,44818.313,315.18
12:26:58.349,44818.35,314.33
12:26:58.388,44818.388,316.42
12:26:58.425,44818.425,316.47
12:26:58.462,44818.462,314.72
12:26:58.500,44818.5,314.74
12:26:58.537,44818.538,315.56
12:26:58.575,44818.575,314.82
12:26:58.612,44818.612,314.36
12:26:58.649,44818.649,314.36
12:26:58.687,44818.687,314.75
12:26:58.724,44818.724,314.39
12:26:58.762,44818.762,314.84
12:26:58.799,44818.8,314.48
12:26:58.837,44818.837,315.3
12:26:58.874,44818.874,314.84
12:26:58.912,44818.912,315.34
12:26:58.949,44818.95,315.29
12:26:58.986,44818.987,314.36
12:26:59.024,44819.024,314.31
12:26:59.062,44819.062,314.41
12:26:59.098,44819.098,303.37
12:26:59.135,44819.136,314.77
12:26:59.174,44819.174,314.29
12:26:59.210,44819.211,315.59
12:26:59.248,44819.248,315.97
12:26:59.286,44819.286,314.74
12:26:59.323,44819.323,315.95
12:26:59.360,44819.361,316.01
12:26:59.398,44819.398,313.81
12:26:59.435,44819.435,315.95
12:26:59.473,44819.473,315.92
12:26:59.511,44819.511,315.15
12:26:59.548,44819.548,314.31
12:26:59.585,44819.586,315.53
12:26:59.623,44819.623,314.26
12:26:59.660,44819.66,315.53
12:26:59.697,44819.698,314.27
12:26:59.735,44819.735,313.74
12:26:59.772,44819.773,314.69
12:26:59.810,44819.81,314.65
12:26:59.847,44819.847,314.58
12:26:59.885,44819.885,314.63
12:26:59.922,44819.922,314.57
12:26:59.959,44819.959,315.85
12:26:59.997,44819.997,316.16
12:27:00.034,44820.035,315.8
12:27:00.072,44820.072,314.0
12:27:00.109,44820.11,314.45
12:27:00.147,44820.148,313.98
12:27:00.184,44820.184,313.9
12:27:00.222,44820.222,315.61
12:27:00.259,44820.259,313.79
12:27:00.297,44820.297,315.05
12:27:00.334,44820.334,314.1
12:27:00.371,44820.371,314.1
12:27:00.409,44820.409,314.07
12:27:00.446,44820.446,313.52
12:27:00.484,44820.484,314.81
12:27:00.521,44820.521,313.35
12:27:00.559,44820.559,313.74
12:27:00.596,44820.596,313.12
12:27:00.633,44820.633,313.4
12:27:00.671,44820.671,313.31
12:27:00.708,44820.708,313.11
12:27:00.746,44820.746,313.02
12:27:00.783,44820.783,312.88
12:27:00.820,44820.82,313.11
12:27:00.858,44820.858,312.59
12:27:00.895,44820.895,312.49
12:27:00.933,44820.933,313.6
12:27:00.969,44820.97,312.16
12:27:01.007,44821.007,312.1
12:27:01.044,44821.044,314.1
12:27:01.081,44821.082,311.86
12:27:01.119,44821.119,313.04
12:27:01.156,44821.156,300.64
12:27:01.193,44821.193,311.63
12:27:01.230,44821.23,311.08
12:27:01.267,44821.268,310.66
12:27:01.305,44821.305,311.46
12:27:01.342,44821.342,311.79
12:27:01.379,44821.38,311.27
12:27:01.417,44821.417,311.65
12:27:01.454,44821.454,312.8
12:27:01.491,44821.491,310.91
12:27:01.528,44821.528,311.62
12:27:01.566,44821.566,313.19
12:27:01.603,44821.603,310.84
12:27:01.640,44821.64,310.26
12:27:01.677,44821.677,310.52
12:27:01.714,44821.715,310.29
12:27:01.751,44821.752,310.57
12:27:01.789,44821.789,310.36
12:27:01.825,44821.825,299.08
12:27:01.863,44821.863,311.38
12:27:02.072,44822.072,311.53
12:27:02.109,44822.11,311.05
12:27:02.146,44822.147,310.96
12:27:02.184,44822.184,311.29
12:27:02.221,44822.221,309.47
12:27:02.258,44822.258,309.35
12:27:02.295,44822.295,309.35
12:27:02.332,44822.332,296.4
12:27:02.368,44822.368,296.8
12:27:02.405,44822.405,310.05
12:27:02.442,44822.442,296.76
12:27:02.478,44822.478,297.16
12:27:02.515,44822.515,309.18
12:27:02.638,44822.638,309.52
12:27:02.676,44822.676,309.49
12:27:02.713,44822.713,309.81
12:27:02.750,44822.75,309.8
12:27:02.786,44822.786,296.4
12:27:02.823,44822.824,309.27
12:27:02.860,44822.86,296.75
12:27:02.896,44822.896,295.8
12:27:02.933,44822.933,295.36
12:27:02.969,44822.969,295.75
12:27:03.005,44823.005,294.89
12:27:03.042,44823.042,295.67
