Regular Timestamp,Timestamp (Number),Distance (cm)
17:25:36.394,62736.395049,38.24
17:25:36.417,62736.417543,37.79
17:25:36.425,62736.425704,37.87
17:25:36.432,62736.432619,38.26
17:25:36.439,62736.439337,38.3
17:25:36.446,62736.446377,38.27
17:25:36.454,62736.454636,38.23
17:25:36.462,62736.462238,38.23
17:25:36.469,62736.469634,37.83
17:25:36.476,62736.477172,37.87
17:25:36.484,62736.484228,37.83
17:25:36.492,62736.492445,37.87
17:25:36.499,62736.499751,38.26
17:25:36.506,62736.50703,38.23
17:25:36.513,62736.513826,38.22
17:25:36.520,62736.52055,37.87
17:25:36.527,62736.527413,38.28
17:25:36.534,62736.534421,38.28
17:25:36.541,62736.541386,38.27
17:25:36.548,62736.548301,37.34
17:25:36.553,62736.554073,37.85
17:25:36.559,62736.559979,37.86
17:25:36.565,62736.566118,37.85
17:25:36.572,62736.572435,37.84
17:25:36.578,62736.578561,38.27
17:25:36.584,62736.58496,40.38
17:25:36.590,62736.590805,38.27
17:25:36.597,62736.597509,38.23
17:25:36.605,62736.605348,37.87
17:25:36.611,62736.612077,38.28
17:25:36.619,62736.619965,38.27
17:25:36.626,62736.626724,37.85
17:25:36.633,62736.633959,37.83
17:25:36.641,62736.641303,38.28
17:25:36.647,62736.64811,38.25
17:25:36.654,62736.654452,39.58
17:25:36.660,62736.660609,38.26
17:25:36.667,62736.667198,37.86
17:25:36.674,62736.675074,37.82
17:25:36.681,62736.682157,38.23
17:25:36.689,62736.689768,38.26
17:25:36.696,62736.696719,37.83
17:25:36.703,62736.703957,38.24
17:25:36.711,62736.711201,38.26
17:25:36.718,62736.718293,37.8
17:25:36.724,62736.724339,37.86
17:25:36.731,62736.731455,38.27
17:25:36.738,62736.738309,37.84
17:25:36.745,62736.745326,37.83
17:25:36.751,62736.752104,37.79
17:25:36.758,62736.758844,37.83
17:25:36.765,62736.76604,37.82
17:25:36.773,62736.773561,38.24
17:25:36.780,62736.780381,38.26
17:25:36.787,62736.787219,37.81
17:25:36.794,62736.794818,39.55
17:25:36.801,62736.801831,37.83
17:25:36.809,62736.809542,37.88
17:25:36.816,62736.816695,37.81
17:25:36.823,62736.824033,38.25
17:25:36.831,62736.831138,37.84
17:25:36.837,62736.837809,38.22
17:25:36.843,62736.843497,37.86
17:25:36.849,62736.849272,37.83
17:25:36.855,62736.85516,39.54
17:25:36.861,62736.861209,37.79
17:25:36.867,62736.867744,38.28
17:25:36.873,62736.873844,38.25
17:25:36.879,62736.879677,38.25
17:25:36.885,62736.885365,37.86
17:25:36.891,62736.891193,37.83
17:25:36.897,62736.897823,37.36
17:25:36.904,62736.904608,38.23
17:25:36.910,62736.910824,38.25
17:25:36.918,62736.918183,38.29
17:25:36.924,62736.924225,37.03
17:25:36.930,62736.930181,37.85
17:25:36.936,62736.936269,38.25
17:25:36.942,62736.942439,37.85
17:25:36.948,62736.948309,38.24
17:25:36.954,62736.954416,38.21
17:25:36.960,62736.960727,38.3
17:25:36.967,62736.967485,38.26
17:25:36.973,62736.973322,38.3
17:25:36.979,62736.979292,38.27
