Timestamp, Quality, Angle, Distance, Acceleration X, Acceleration Y, Acceleration Z, Orientation Pitch, Orientation Roll, Orientation Yaw
0.329, 15, 273.92, 812.25, 0.53, 0.12, 0.66, 321.65, 10.29, 48.52
0.465, 15, 143.19, 355.5, 0.63, 0.09, 0.66, 321.57, 10.33, 48.46
0.498, 15, 144.30, 347.75, 0.51, 0.00, 0.66, 321.62, 10.47, 48.35
0.531, 15, 146.09, 339.5, 0.55, 0.04, 0.65, 321.69, 10.50, 48.37
0.556, 15, 147.62, 332.25, 0.57, -0.00, 0.65, 321.68, 10.43, 48.48
0.584, 15, 149.61, 325.5, 0.62, 0.08, 0.67, 321.61, 10.41, 48.46
0.610, 15, 186.30, 265.75, 0.56, 0.10, 0.66, 321.64, 10.48, 48.47
0.643, 15, 187.42, 266.0, 0.55, 0.03, 0.66, 321.71, 10.46, 48.56
0.676, 15, 190.11, 266.25, 0.54, 0.03, 0.66, 321.66, 10.37, 48.66
0.703, 15, 190.59, 266.75, 0.60, 0.05, 0.66, 321.52, 10.31, 48.70
0.736, 15, 191.98, 268.5, 0.57, 0.05, 0.66, 321.53, 10.44, 48.60
0.774, 15, 194.03, 269.5, 0.56, 0.00, 0.65, 321.58, 10.46, 48.59
0.806, 15, 195.55, 270.75, 0.77, 0.06, 0.65, 321.58, 10.48, 48.68
0.834, 15, 196.56, 272.5, 0.57, 0.05, 0.67, 321.56, 10.50, 48.72
0.867, 15, 197.83, 274.25, 0.61, 0.02, 0.67, 321.56, 10.48, 48.73
0.893, 15, 313.41, 648.75, 0.53, 0.02, 0.67, 321.64, 10.41, 48.82
0.925, 15, 314.94, 631.5, 0.62, -0.02, 0.66, 321.61, 10.35, 48.92
0.958, 15, 316.53, 611.0, 0.57, 0.06, 0.67, 321.54, 10.36, 48.89
0.983, 15, 318.08, 591.0, 0.48, 0.01, 0.66, 321.52, 10.42, 48.81
1.013, 15, 319.58, 579.25, 0.65, -0.02, 0.64, 321.57, 10.34, 48.87
1.046, 15, 321.25, 563.25, 0.62, -0.15, 0.65, 321.56, 10.29, 48.91
1.083, 15, 322.56, 549.75, 0.56, 0.05, 0.66, 321.58, 10.38, 48.79
1.117, 15, 324.16, 539.5, 0.65, -0.00, 0.66, 321.61, 10.46, 48.72
1.150, 15, 325.92, 530.25, 0.60, 0.07, 0.67, 321.58, 10.42, 48.76
1.181, 15, 81.53, 992.0, 0.59, 0.06, 0.67, 321.50, 10.34, 48.80
1.215, 15, 83.05, 986.5, 0.67, 0.04, 0.67, 321.51, 10.33, 48.88
1.244, 15, 84.45, 985.25, 0.59, 0.05, 0.66, 321.58, 10.25, 48.99
1.275, 15, 85.91, 979.25, 0.55, 0.02, 0.65, 321.60, 10.20, 49.03
